"Source:","C:\Projects\BANO\From20221028\Main_PCB_004\Main_PCB_002.kicad_sch"
"Date:","03.12.2022 8:59:37"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","240"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C4, C9, C11, C17, C19, C20, C23, C24, C25, C27, C28, C30, C32, C33, C36, C37, C38, C39, C42, C43, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, ","38","C","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C5, C6, C10, C12, ","4","C","C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor",""
"C7, C8, C13, C15, C16, C18, C21, C26, C29, C34, C35, C40, C41, ","13","C","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C14, C22, C31, C44, C45, ","5","C","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor",""
"D1, D2, D3, D4, D5, D17, D18, D19, D22, D23, D36, D37, D43, D44, D55, D56, D57, ","17","WireHole_1p5","WireHole_1p5","libraries:WireHole_1p2","",""
"D6, D7, D8, D9, D10, D11, D13, D14, D15, D16, D39, D53, D54, ","13","Wire_Pad_01","Wire_Pad_01","Flat_Wires_Pads:Wire_Hole_1mm","",""
"D12, D21, D38, D45, D46, ","5","SS36","SS36","libraries:SODFL4626X120N","Rectifier Diode, Schottky, 60 Volt, DO-214AB / SMC",""
"D20, ","1","TX6211","TX6211","XDS_Semi:TX6211","",""
"D24, D25, D26, D27, D28, D29, D30, D31, D32, D33, D34, D35, D47, D48, D49, ","15","LED_Cree_XHP50_6V","LED_Cree_XHP50_6V","LED_SMD:LED_Cree-XHP50_6V","XLampÂ® XHP50 LED, 6V footprint (2x2 serial LEDs in parallel)",""
"D40, D52, D72, D89, ","4","Gnd","Wire_Pad_01","Flat_Wires_Pads:Wire_Hole_1mm","",""
"D41, D61, D65, D69, D77, D83, D87, ","7","Gnd","WireHole_1p5","libraries:WireHole_1p2","",""
"D42, ","1","In","WireHole_1p5","libraries:WireHole_1p2","",""
"D50, ","1","Flash LED +","WireHole_1p5","libraries:WireHole_1p2","",""
"D51, ","1","Out","Wire_Pad_01","Flat_Wires_Pads:Wire_Hole_1mm","",""
"D58, ","1","Flash LED -","WireHole_1p5","libraries:WireHole_1p2","",""
"D59, D62, D66, D74, D80, D84, D95, ","7","+5B","WireHole_1p5","libraries:WireHole_1p2","",""
"D60, ","1","t_IC","WireHole_1p5","libraries:WireHole_1p2","",""
"D63, D67, D75, D81, D85, ","5","t_D","WireHole_1p5","libraries:WireHole_1p2","",""
"D64, D68, D76, D82, D86, ","5","t_Q","WireHole_1p5","libraries:WireHole_1p2","",""
"D70, D79, ","2","CS_In","Wire_Pad_01","Flat_Wires_Pads:Wire_Hole_1mm","",""
"D71, D88, ","2","CS_Out","Wire_Pad_01","Flat_Wires_Pads:Wire_Hole_1mm","",""
"D73, D90, ","2","U","Wire_Pad_01","Flat_Wires_Pads:Wire_Hole_1mm","",""
"D78, D91, ","2","I","Wire_Pad_01","Flat_Wires_Pads:Wire_Hole_1mm","",""
"D92, ","1","+5V","WireHole_1p5","libraries:WireHole_1p2","",""
"D93, ","1","t LED","WireHole_1p5","libraries:WireHole_1p2","",""
"D94, D97, ","2","GND","WireHole_1p5","libraries:WireHole_1p2","",""
"D96, ","1","t_LED","WireHole_1p5","libraries:WireHole_1p2","",""
"IC1, ","1","TPS40211QDGQRQ1","TPS40211QDGQRQ1-TPS40211QDGQRQ1","libraries:SOP50P490X110-11N","",""
"IC2, ","1","LM5164QDDATQ1","LM5164QDDATQ1","libraries:SOIC127P600X170-9N","6-V to 100-V input, 1-A synchronous DC-DC buck converter with ultra-low IQ",""
"IC3, ","1","LM3481MM_NOPB","LM3481MM_NOPB","libraries:SOP50P490X110-10N","Texas Instruments,LM3481MM/NOPB,IC,DC-DC Texas Instruments LM3481MM/NOPB, DC-DC Controller, 1A, 48 V, Step Up, 1 MHz, 10-Pin, VSSOP",""
